movieId,actorId,character
3589,318149,Porter
3590,844447,A biciklizõ boy
3590,61392,Bálint gróf Sárkányvár ifjú ura
3590,190791,Lõrincz gróf Bálint gróf riválisa
3590,221765,Tamás mester a felcser
3590,29166,A vasárnapi lovas
3590,261981,A konfliskocsis
3595,385714,
3595,587646,
3595,913094,Undetermined Secondary Role
3596,177330,Mr. Cambridge
3596,98089,Daddy - the Office Boy
3596,644728,James Malone
3596,922392,
3596,163906,
3596,624752,High Officer of the Secret Society Ch. 5
3597,81288,
3597,585785,
3597,783027,
3597,823150,
3599,168621,
3600,394182,Bob Caldecott
3600,582212,Count Pulaski
3602,190516,Lord Trevor
3605,445408,John Dale
3605,891238,Gerald Tate
3605,164614,Mr. Tate - the Father
3605,492993,Mr. Seward
3606,601698,Allan Buchannan
3608,140054,
3608,202768,
3608,301787,
3608,422930,
3609,1990343,Anton
3609,270415,Graf Erwin
3609,561587,
3613,822058,
3617,791746,
3617,900812,
3617,934300,
3619,889772,
3622,602404,
3623,17144,
3623,679170,
3625,476936,Stiva Oblonsky
3625,789401,Karenin
3625,848483,Vronsky
3625,643442,Levin
3630,638929,Jack
3631,694362,Jefferson Stockton
3631,393818,Prince Emil von Haldenwald
3631,741830,Stuyvesant Lawrence
3632,417837,
3632,519765,
3634,608971,Rev. H. Brice
3634,279227,Frank St. John
3634,533764,Rev. John St. John
3634,385686,Luther Ludlam
3634,607864,Steven Stetson
3637,784988,Michele Boccadifuoco
3637,70959,Don Federigo Funelli
3637,16697,Raffaele
3639,330273,Stanton Thornton
3639,607074,Dayton Thornton
3639,552765,Colonel Kerr
3643,73239,
3643,910400,The Nephew
3643,14894,The Uncle
3643,797094,The Italian
3643,507635,The Detective
3643,366008,The Grocery Boy
3651,79813,Gregoire
3651,1267460,Baron Plessen
3655,47333,George Washington Phipps
3655,867469,Lawrence Westbrook
3655,908390,John Strebelow
3655,819793,Count de Carojac
3655,47534,Harold Routledge
3657,294058,Bartender
3657,366586,Jim Stokes
3657,121706,Sheriff Bud Walsh
3657,792727,Phil Brent
3657,235848,Rev. Joshua Wilkes
3663,276165,Colonel Furioso
3664,124279,Arthur Chandler
3664,392015,John Wells
3664,173875,Ezra Chandler
3664,242349,Jack Sanford
3664,925118,Kirby
3665,493073,
3665,187981,Frank Andrews
3665,366008,John Andrews - the Son
3665,601698,Cleos Lover
3668,633860,
3668,421104,Al Jennings
3668,287854,Frank Jennings - Als Brother
3668,268437,
3668,296433,
3669,1090737,báró Káró Félix
3669,956428,Wesekövy Napoleon
3669,351333,Kalotay riporter
3669,8625691,János inas
3669,270485,Ipay alezredes
3669,844227,
3670,456804,Steve Hunter
3670,792514,Teddy Harrington
3670,60238,Joe Canby
3672,330384,Philip Calthorpe
3672,939702,Robert St. Omar
3672,461524,Renard Duval
3675,572310,
3675,424530,Lord Cecil
3675,593392,
3675,355662,
3676,292407,Prince Cyril Rubetskoi
3677,861696,Bishop
3677,183866,Rev. Mark Stebbing
3677,393818,Rev. Lionel Barmore
3677,110838,Henry Wharton
3677,709718,Penrod
3677,377855,Clancy
3677,389510,Spike
3685,470179,Wholesaler Sørensen
3685,234670,
3685,804632,Stephan
3686,166958,General Lambert retired
3686,116643,Lt. Jack Lambert their son
3686,679043,Captain Doane
3686,922396,Jaubert a Boer general
3689,101071,Jeff Marsh
3689,527801,George Dunbar
3689,585503,Dr. Morrow
3689,728289,Theatrical Manager
3689,399988,Butler
3692,74063,The Clerk
3692,47534,Big Bill
3692,139714,Pablo
3692,829381,James Maxwell
3698,8518,Robert BrewsterMonty Brewster
3698,802309,Edwin Peter Brewster
3698,213049,Jonas Sedgwick
3724,2331511,Toms Horse
3724,594291,Tom Mingle
3724,643048,Chief Swift Wing
3724,101071,Dick Madison
3730,179163,DanversRaffles
3730,292407,Butler
3730,718445,Hadley Stone
3730,147692,Rev. John Banfield
3731,98376,Elam Harnish aka Burning Daylight
3731,370746,Elijah
3731,166730,Charley Bates
3731,176699,Joe Hines
3732,98376,Elam Harnish Burning Daylight
3735,9892419,
3735,49279,Bánk bán
3735,75509,Solom mester
3735,1095994,Harcos
3736,242800,Wallie Walton
3736,3193,C.O. Darlington
3736,533000,C.O. Drudge
3736,113224,C.O. Dusenberry
3736,119906,Willie Willing
3738,246445,
3740,656034,Maciste - Axillas Slave
3743,114307,Me-en-gan
3743,249187,Ned & Graehme Stewart
3743,731623,Galen Albert
3743,139356,Rand
3744,712660,Gilbert Vaughan
3744,286594,Anthony March
3744,941782,Dr. Manuel Ceneri
3744,704026,Signor Macari
3746,140054,
3746,243918,
3746,301787,
3746,422930,
3746,679170,
3746,744686,
3747,611913,Tom Randall
3747,267914,Cameo Kirby
3747,624735,John Randall
3747,598767,Colonel Moreau
3748,496470,Don Arana - the Foreign Minister
3748,853336,Robert W. Wainwright AKA Captain Alvarez
3748,822481,Rosas - President of Argentina
3748,392429,Tirzo AKA Del Caprio - the Spy
3752,908390,Captain Swift
3752,207764,George Gardner Harrys friend
3752,867469,Marshall Seabrooks butler
3752,28658,James Seabrook
3752,819793,Harry Seabrook his son
3752,641498,Michael Ryan Queenstown detective
3756,190516,Cardinal Richelieu
3756,287854,Chevalier Adrien de Mauprat
3756,304236,François
3756,55661,Huguet
3756,61746,Joseph
3761,587754,Lazare
3761,177700,Jean Renaud
3761,741450,Adriennes Father
3763,560785,Marat
3763,341512,Danton
3763,595306,Barbaroux
3765,176699,Smoke Bellew
3765,712870,Shorty
3765,755331,Big Olof
3768,855912,Trotty Veck
3768,376079,Alderman Cute
3768,367469,William Fern
3768,386863,Richard
3768,900330,Sir Joseph Bowley
3771,636132,Lord Robert Ure
3771,355510,Francis Horatio Drake
3772,532996,Undetermined Role
3772,601698,Prince Charming
3772,174485,The King
3774,382730,Artful Dick Cronk
3774,731623,Thomas Braddock
3774,925689,Frank Jenison
3774,611913,David Jenison
3774,369058,Ernie Cronk
3779,1649723,
3779,442180,Roger
3790,450107,Charles Maylor
3790,187868,The Vulture
3790,11151,Frank Norman
3790,344029,Miron Mendel
3790,680887,John Scanlon
3792,256221,Winthrop Clavering
3792,516974,Jack Howell
3798,98376,Billy Bladerson
3798,824331,George Marshall
3799,516974,Tillford Wheeler
3799,33446,The Honorable Jim Hackler
3799,842045,Sassafras Livingston
3799,516166,Elias Rigby
3802,117291,Francis W. Seeman
3802,853336,Roger Neville
3802,318516,Thomas Mills
3804,516974,Craig Atwood
3807,148546,
3807,246414,
3807,260952,Child
3807,347565,
3815,71992,George Dupont
3816,941782,Damon
3816,712660,Pythias
3817,174720,Jonas Watts
3817,230020,Dan
3817,717281,Col. Dabney
3817,184782,Raoul Dabney
3817,279227,John Hammond
3820,840178,The King of Bavarre
3820,1583901,The Prime Minister
3820,485770,Giles the Prime Ministers Secretary
3822,34454,
3822,148546,
3822,320817,
3822,704158,
3825,68213,Matthew Crosby
3825,241867,Louis Stolbeck
3825,338824,Reginald Crosby
3830,138272,Detective Craig
3830,822060,Bob Brierly
3830,35187,James Dalton
3830,123679,Banker Gibson
3832,97421,
3836,97421,
3838,311375,Lt. Dubois
3838,909825,The Adopted Son
3838,71758,Bel Khan - Son of Achmed
3838,167144,Sheik Achmed
3840,780869,Doc
3840,98310,Bill Travers
3840,149477,Eastman
3854,108653,Dawson
3854,823633,Steve Braddock
3854,337083,Slim Grayson
3854,382954,Kenyon Phillips
3854,421041,Rawhide
3856,909492,Valance Chandler
3856,913094,James Jim Gresham
3856,562805,Carson Baylis
3856,741852,Andrew Martin
3856,354925,Jim
3856,355833,Ben
3859,874139,Jimmy Binkley
3859,867469,John Rogers
3859,581653,Mr. Binkley
3867,603064,
3870,253307,
3870,14363,Helder
3870,252476,Albert Smith
3870,526234,Walter Crain
3871,681927,A Young Clansman
3871,456804,Lancer Morne
3871,110838,Abner Morne
3871,115005,Fisher Morne
3874,49367,
3874,140054,
3874,243918,
3875,201299,Dix de la Touraine
3875,68152,Mr. Pipp
3875,237981,Count Charmount
3875,410271,John Willing
3883,674600,Léonce
3883,504864,Edmond Le Bachelier
3883,481419,Le Bosco
3883,449136,Pierre de Valen
3883,350802,Le savetier Tiron
3883,245026,Jacques de Valen
3884,473883,Redakteur Schneider
3884,484395,Peter J. Schneider
3884,408219,Theodor Schiebstaedt
3886,492774,Enoch Arden
3886,916828,Philip Ray
3886,779204,Charles
3886,247534,John Lane
3886,668310,The Priest
